canonical_afm	verdict	registry_spelling	times_seen	curated_json_name	suggested_display	your_display_name	notes
096035032	accepted	ΔΑ.Σ.Ε. Άνω Σταυρού Θεσ/νίκης ΄΄ΠΡΟΟΔΟΣ΄΄	1				
096035032	accepted	"ΔΑΣΕ ""Η ΠΡΟΟΔΟΣ "" Α.ΣΤΑΥΡΟΥ"	1				
096035032	accepted	ΔΑΣΕ ΑΝΩ ΣΤΑΥΡΟΥ	1				
096035032	accepted	"ΔΑΣΕ ""Η ΠΡΟΟΔΟΣ "" ΑΝΩ ΣΤΑΥΡΟΥ"	1				
096035695	accepted	ΔΑ.Σ.Ε. Αθαμανίας Τρικάλων	2	ΔΑ.Σ.Ε. Αθαμανίας Τρικάλων	ΔΑ.Σ.Ε. Αθαμανίας Τρικάλων		
096035738	accepted	ΔΑ.Σ.Ε ΣΤΟΥΡΝΑΡΕΙΚΩΝ	1	ΔΑ.Σ.Ε. Στουρναρέικων Τρικάλων	ΔΑ.Σ.Ε ΣΤΟΥΡΝΑΡΕΙΚΩΝ		
096035738	accepted	ΔΑ.Σ.Ε. ΣΤΟΥΡΝΑΡΑΙΙΚΩΝ	1				
096035738	accepted	ΔΑ.Σ.Ε. ΣΤΟΥΡΝΑΡΕΙΚΩΝ	1				
096035738	accepted	ΔΑ.Σ.Ε. Στουρναρέικων Τρικάλων	1				
096035738	accepted	ΔΑ.Σ.Ε. Στουρναρέϊκα Τρικάλων	1				
096035738	accepted	ΔΑΣΕ ΣΤΟΥΡΝΑΡΕΙΚΩΝ	1				
096035738	accepted	ΔΑΣΕ ΣΤΟΥΡΝΑΡΕΪΚΩΝ	1				
096035900	accepted	ΔΑΣΕ ΑΝΩ ΓΡΑΜΜΑΤΙΚΟΥ	12	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΑΝΩ ΓΡΑΜΜΑΤΙΚΟΥ	ΔΑΣΕ ΑΝΩ ΓΡΑΜΜΑΤΙΚΟΥ		
096035900	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΑΝΩ ΓΡΑΜΜΑΤΙΚΟΥ	1				
096036194	accepted	ΔΑ.Σ.Ε. ΝΕΟΥ ΠΕΤΡΙΤΣΙΟΥ	3	ΔΑ.Σ.Ε. ΝΕΟΥ ΠΕΤΡΙΤΣΙΟΥ	ΔΑ.Σ.Ε. ΝΕΟΥ ΠΕΤΡΙΤΣΙΟΥ		
096036194	accepted	ΔΑ.Σ.Ε. Ν. ΠΕΤΡΙΤΣΙΟΥ	1				
096038648	accepted	ΔΑ.Σ.Ε. Τσαπουρνιάς	1	ΔΑ.Σ.Ε. Τσαπουρνιάς	ΔΑ.Σ.Ε. Τσαπουρνιάς		
096040320	accepted	ΔΑΣΕ ΧΡΥΣΟΥΠΟΛΗΣ	7	ΔΑΣΕ ΧΡΥΣΔΟΥΠΟΛΗΣ	ΔΑΣΕ ΧΡΥΣΟΥΠΟΛΗΣ		
096040320	accepted	ΔΑΣΕ ΧΡΥΣΔΟΥΠΟΛΗΣ	1				
096040750	accepted	ΔΑΣΕ ΒΡΑΧΑΣ	15	ΔΑΣΕ ΒΡΑΧΑΣ	ΔΑΣΕ ΒΡΑΧΑΣ		
096040994	accepted	ΔΑΣΕ ΔΑΔΙΑΣ	7	ΔΑΣΕ ΔΑΔΙΑΣ	ΔΑΣΕ ΔΑΔΙΑΣ		
096047960	accepted	"ΔΑΣΕ ""ΤΟ ΠΕΡΤΟΥΛΙ"""	1	ΔΑΣΕ ΠΕΡΤΟΥΛΙΟΥ ''ΤΟ ΠΕΡΤΟΥΛΙ''	"ΔΑΣΕ ""ΤΟ ΠΕΡΤΟΥΛΙ"""		
096047960	accepted	ΔΑΣΕ ΠΕΡΤΟΥΛΙΟΥ ''ΤΟ ΠΕΡΤΟΥΛΙ''	1				
096053559	accepted	ΔΑΣΕ ΠΕΥΚΩΤΟΥ ΑΛΜΩΠΙΑΣ ΠΕΛΛΑΣ	2	ΔΑΣΕ ΠΕΥΚΩΤΟΥ ΑΛΜΩΠΙΑΣ ΠΕΛΛΑΣ	ΔΑΣΕ ΠΕΥΚΩΤΟΥ ΑΛΜΩΠΙΑΣ ΠΕΛΛΑΣ		
096053584	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΔΟΛΙΑΝΩΝ	4	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΔΟΛΙΑΝΩΝ	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΔΟΛΙΑΝΩΝ		
096053688	accepted	ΔΑ.Σ.Ε. ΦΕΛΛΙΟΥ	6	ΔΑ.Σ.Ε. ΦΕΛΛΙΟΥ	ΔΑ.Σ.Ε. ΦΕΛΛΙΟΥ		
096061560	accepted	ΔΑΣΕ ΕΛΑΦΟΥ	4	ΔΑ.ΣΕ. ΚΑΡΙΤΣΑΣ ΕΛΑΦΟΥ ΑΓΙΑΣ ΛΑΡΙΣΑΣ	ΔΑΣΕ ΕΛΑΦΟΥ		
096061560	accepted	ΔΑ.Σ.Ε. Ελάφου Αγιάς Λάρισας	3				
096061560	accepted	ΔΑ.ΣΕ. ΕΛΑΦΟΥ ΑΓΙΑΣ ΛΑΡΙΣΑΣ	3				
096061560	accepted	ΔΑΣΕ ΕΛΑΦΟΥ ΑΓΙΑΣ ΛΑΡΙΣΑΣ	3				
096061560	accepted	ΔΑ.ΣΕ. ΚΑΡΙΤΣΑΣ ΕΛΑΦΟΥ ΑΓΙΑΣ ΛΑΡΙΣΑΣ	1				
096061560	accepted	ΔΑΣΕ ΕΛΑΦΟΣ ΑΓΙΑΣ ΛΑΡΙΣΑΣ	1				
096064168	accepted	ΔΑΣΕ ΠΕΥΚΟΦΥΤΟΥ ΝΕΣΤΟΡΙΟΥ	1	ΔΑΣΕ ΠΕΥΚΟΦΥΤΟΥ ΝΕΣΤΟΡΙΟΥ	ΔΑΣΕ ΠΕΥΚΟΦΥΤΟΥ ΝΕΣΤΟΡΙΟΥ		
